Timestamp,What is your favorite Driver?,What is your favorite Midrange?,What is your favorite Putter?
10/27/2020 5:25:32,MVP Cosmic Wave 175g,MVP Neutron Reactor,MVP Proton Envy
10/27/2020 5:47:23,Innova Pro Beast,Discraft Drone,Innova Aviar
10/27/2020 5:50:55,Dynamic Discs Defender,Prodigy Disc MX3,Prodigy Disc Pa-3
10/27/2020 5:52:57,Firebird,Roc3,Classic judge
10/27/2020 6:04:19,Prodigy d2,M model OS,P model US
10/27/2020 6:12:47,Mamba,Patrol,Judge
10/27/2020 6:14:56,Witness,Buzzz,Judge
10/27/2020 6:15:00,Trespass,Sling,Envy
10/27/2020 6:35:29,Teleport by mvp,Mvp reactor / innova roc 3,Mvp soft Atom
10/27/2020 6:50:59,DGA Pipeline,Discraft Comet,Discraft Ringer
10/27/2020 6:53:03,Pfn star wraith,Flat top glow kc pro roc,Rff wizard
10/27/2020 6:53:27,Innova Innova Innova Destroyer,Dynamic Discs Suspect,Dynamic Discs Warden
10/27/2020 7:03:21,Dga undertow,Innova atlas,Innova nova
10/27/2020 7:06:31,Ballista pro,Buzz,Crown
10/27/2020 7:08:08,Streamline Trace,Westside Tournament Gatekeeper,Gateway Pure White Wizards
10/27/2020 7:17:52,Prodigy D3 750g,Prodigy m3/2,Ace Line P Model S
10/27/2020 7:19:40,"Dynamic Discs Renegade, Lucid Plastic ","Discraft BUZZ SS, Z Plastic","Dynamic Discs Warden, Classic Blend"
10/27/2020 7:25:34,Lat. 64 Moonshine Diamond Light,Lat. 64 Maul,Gateway Shaman
10/27/2020 7:25:39,Innova tern,Discraft meteor,Fiscraft luna
10/27/2020 7:26:46,Dynamic Discs Sergeant,DD Suspect,DD Marshal
10/27/2020 7:40:02,Fuzion Trespass,Dx Roc 3,Judge classic blend
10/27/2020 7:47:10,Star Wraith,Compass,Wizard
10/27/2020 7:49:01,Dynamic Discs Defender,Dynamic Discs Truth,Dynamic Discs Warden
10/27/2020 7:57:29,Dynamic Discs Renegade,Dynamic Discs Truth,Wizard
10/27/2020 8:02:31,Discraft Ti Nuke,Discraft Glo Buzzz,Discraft Pro-D Challenger
10/27/2020 8:04:48,Innova Innova Destroyer,Evidence,Wizard
10/27/2020 8:05:14,Innova TL,Innova KC Pro Roc,Gateway Wizard
10/27/2020 8:11:22,Sidewinder,Buzz,Magic
10/27/2020 8:12:21,TeeBird,Rhino Putter,Rhino
10/27/2020 8:20:48,Axiom Crave,Mvp Reactor,Mvp Ion
10/27/2020 8:33:50,Innova Monarch,Dynamic Discs E-Mac Truth,Gateway Wizard
10/27/2020 8:38:40,Innova wraith,Innova dx roc,Innova aviar 3
10/27/2020 8:40:10,Star Shryke,Roc3,KC Aviar
10/27/2020 8:42:35,Innova Wraith,Innova Roc3,Gateway Warlock
10/27/2020 8:43:35,Innova Innova Destroyer,Roc,KC aviar
10/27/2020 8:58:32,Valkyrie,Buzz,Aero putt and approach
10/27/2020 9:23:15,Prodigy f3,Prodigy a1,Innova aviar
10/27/2020 9:31:36,Innova Mystere,Innova Roc3,Prodigy PA-2
10/27/2020 9:43:41,Avenger SS,Buzz,Challenger SS
10/27/2020 9:48:49,Grym x,Emac truth,Reko
10/27/2020 9:51:17,Innova Innova Innova Destroyer,Innova Roc3,Innova Aviar
10/27/2020 9:54:42,Musket,EMAC Truth,Aviar
10/27/2020 10:14:28,Discraft Undertaker,Dynamic Discs Bounty,Gateway Chief
10/27/2020 10:22:40,Innova Innova Destroyer,Super Roc,Voodoo
10/27/2020 10:49:57,Innova Innova Innova Destroyer,Westside Discs Bard,Discmania P2
10/27/2020 10:56:51,Innova Star Innova Innova Destroyer,Prodigy MX-3,Prodigy P Model-S
10/27/2020 11:23:45,Valkerie,Shark,Voodoo
10/27/2020 12:05:50,Tern,Buzz,MVP Anoide
10/27/2020 12:12:59,Streqmline Trace,Discraft Z Buzzz,Discraft Roach
10/27/2020 12:13:23,Innova Innova Destroyer,Truth,Ss magnet from 2007*
10/27/2020 12:29:25,Wraith,Buzzz,Kc pro aviar
10/27/2020 13:08:06,Zeus,Buzzz,Luna
10/27/2020 14:17:55,Nuke,Buzz,Anything without a bead
10/27/2020 14:25:52,Wraith,Roc3,Avaiar
10/27/2020 14:25:54,Innova Shryke,Innova Roc,Wham-o Softie
10/27/2020 14:44:34,Innova Innova Destroyer,Coyote,D-line p2
10/27/2020 14:46:08,Wraith,Buzzz,JK Aviar-X
